Reference,Source,Topic,PerceivedExpertise,Question,Answer
A0195,AI,Inconsistency,Basic,What does the Cochran's Q test examine?,Cochran's Q test examines whether all studies suggest the same effect.
A0219,AI,Inconsistency,Basic,What is the objective of using the random-effects model?,To account for across-study variation when estimating confidence intervals.
A0228,AI,Imprecision,Basic,What is imprecision in studies?,Imprecision refers to the uncertainty associated with estimates of effects derived from studies due to sampling error.
A0247,AI,Imprecision,Basic,What is 'double counting' in GRADE assessments?,'Double counting' occurs when users rate down for both inconsistency and imprecision in random-effects models.
A0258,AI,Imprecision,Basic,When is the 'no effect' line considered a helpful threshold?,The 'no effect' line may be considered helpful in early phases of intervention development when discerning any effect is primary.
A0266,AI,Dissemination bias,Basic,What is dissemination bias?,Dissemination bias occurs when the accessibility of study results is determined by the nature of their findings.
A0284,AI,Dissemination bias,Basic,Why are unpublished non-randomized studies difficult to identify?,Unpublished non-randomized studies are difficult to identify because it is not common practice to register them.
A0291,AI,Dissemination bias,Basic,What are funnel plots used for?,Funnel plots are used to display intervention effect estimates from individual studies against a measure of each study's size or precision.
E0003,Expert,Limitations in the design or execution in randomized trials,Intermediate,"I am assessing limitations in the design or execution in randomized trials. Several of my studies have been classified as having a high risk of bias. However, the results of the meta-analytical measures pooling data from studies with low and with high risk of bias are coherent, with both pointing to small benefits of the intervention. How can I rate the certainty of evidence for this GRADE domain?","If the results from trials with low and high risk of bias are concordant (i.e., fall within the same range), rating down the certainty of the evidence is likely not appropriate. However, there are some paradigmatic situations that may prompt rating down the certainty by 1, 2, or even 3 levels, depending on the severity of the identified limitations."
E0008,Expert,Inconsistency,Intermediate,"In my meta-analysis, I have severe heterogeneity (I2=60%). However, this heterogeneity seems to be fully explained by the region where the study was conducted – when performing separate analyses for studies performed in Europe and for studies performed in Asia, heterogeneity is no longer observed in any of those subgroups. How can I rate the certainty of evidence for inconsistency?","If credible hypotheses or evidence can explain the inconsistency, subgroup analyses should be conducted. If the inconsistency remained unexplained, the certainty of the evidence would have to be rated down. In this case, inconsistency is explained by one subgroup – the certainty of evidence should not be rated down."
E0012,Expert,Imprecision,Intermediate,The meta-analytical measure of my analysis points to a trivial effect and its confidence interval crosses one decision threshold. How can I rate the certainty of evidence for imprecision?,Rate down the certainty by one level according to the number of thresholds crossed.
E0016,Expert,Dissemination bias,Intermediate,"In my field of analysis, most randomised trials are funded by the industry. Should I necessarily rate down the certainty of evidence for dissemination bias?","Industry funded research was long viewed as contributing to dissemination bias, with studies of interventions seeking regulatory approval being more likely to be published if findings were “positive” and statistically significant and more likely to be unpublished or difficult to retrieve if findings were “negative”. However, in present time industry-funded trials are more likely to report their results in clinical trials registers than trials of non-regulated interventions.(14) Therefore, syntheses of trials of interventions that are likely to be industry-funded should not be assumed by default to be at higher risk of dissemination bias than syntheses of non-industry-funded trials."
E0019,Expert,Indirectness,Intermediate,"In my meta-analysis, there are four out of ten studies for which I have at least serious indirectness concerns. Considered together, these studies point to a moderate benefit of the intervention while studies for which there are no concerns on indirectness point to a trivial effect. I have no uncertainty regarding the baseline risk in my target population. How can I rate the certainty of evidence for indirectness?","Considering the differences in the number of decision thresholds crossed, you should rate down the certainty of evidence by two levels."
A0306,AI,Overview of the GRADE approach,Intermediate,What is the main purpose of the GRADE approach in healthcare decision-making?,"The GRADE approach provides a structured framework for assessing the certainty of evidence and supports healthcare decision-making, particularly in the development of recommendations."
A0307,AI,Overview of the GRADE approach,Intermediate,How does GRADE enhance transparency in the assessment process?,"GRADE enhances transparency by making judgments and related deliberations explicit and structured, allowing all interest-holders to contribute to the process."
A0317,AI,Overview of the GRADE approach,Intermediate,What is the main purpose of the Evidence to Decision (EtD) frameworks developed by GRADE?,EtD frameworks help guideline panels use available evidence to develop decisions and recommendations in a structured and transparent way.
A0318,AI,Overview of the GRADE approach,Intermediate,What are the FACE criteria considered in the EtD framework?,"The FACE criteria include Feasibility, Acceptability, Cost, and Equity."
A0346,AI,The development methods of GRADE,Intermediate,What are the six structured steps involved in methodological development for GRADE?,"The six structured steps are Problem Identification, Systematic or Scoping Review, Drafting, Iterative Review, Approval Process, and Publication."
A0347,AI,The development methods of GRADE,Intermediate,What role does evidence synthesis play in developing GRADE methods?,Evidence synthesis plays a crucial role in identifying existing methods and gaps during the Systematic or Scoping Review phase.
A0349,AI,The development methods of GRADE,Intermediate,What is required for a draft to be approved at GWG meetings?,A draft requires 80% agreement through anonymous voting to be approved at GWG meetings.
A0372,AI,Requirements for claiming the use of GRADE,Intermediate,What are the eight domains considered in GRADE's assessment of evidence?,"The eight domains are limitations in detailed study design and execution (risk of bias), imprecision, inconsistency, indirectness, dissemination bias, and three upgrading domains: large effects, opposing residual plausible confounding, and dose-effect relations."
A0377,AI,Requirements for claiming the use of GRADE,Intermediate,What is meant by balanced assessment in the context of GRADE?,Balanced assessment refers to decision-makers describing the magnitude and balance of both benefits and harms when making recommendations.
A0376,AI,Requirements for claiming the use of GRADE,Intermediate,How should recommendations be categorized according to GRADE?,"Recommendations should be categorized by strength (strong or conditional) and direction (for or against), with definitions consistent with GRADE guidance."
A0401,AI,Developing questions about interventions,Intermediate,What is the first step GRADE users typically take when developing a PICO question?,"The first step is to select the relevant population, which consists of individuals for whom the intervention is a practical and reasonable management strategy."
A0402,AI,Developing questions about interventions,Intermediate,Why is it often challenging to define non-pharmacological interventions?,It is challenging because a broad term like 'psychological support' can encompass a range of clinically heterogeneous interventions that need to be addressed separately.
A0403,AI,Developing questions about interventions,Intermediate,What can happen if a sub-optimal comparator is chosen in a PICO framework?,Choosing a sub-optimal comparator can lead to an overestimation of the benefits of the intervention of interest.
A0443,AI,Limitations in the design or execution of randomized trials,Intermediate,How does blinding help in randomized trials?,"Blinding helps to prevent participants, investigators, and study personnel from knowing which treatment group a participant has been assigned to, thereby reducing the chance of systematic differences between groups."
A0444,AI,Limitations in the design or execution of randomized trials,Intermediate,Why is missing outcome data a concern in randomized trials?,"Missing outcome data is a concern because if a substantial proportion of data is missing, the prognostic balance established by randomization may be compromised, making the trial results unreliable."
A0439,AI,Limitations in the design or execution of randomized trials,Intermediate,What are some methods of achieving randomization?,"Randomization can be achieved through simple randomization, block randomization, stratified randomization, and adaptive randomization."
A0486,AI,Inconsistency,Intermediate,How can visual inspection of relative effects help in assessing inconsistency for dichotomous outcomes?,"Visual inspection of relative effects on a forest plot can indicate the presence of inconsistency, which can influence decision-making based on absolute effects."
A0487,AI,Inconsistency,Intermediate,What is the recommended method for converting relative effects to absolute effects in studies?,The recommended method is to multiply the relative effect estimate by an appropriate baseline risk that is consistent across all studies.
A0488,AI,Inconsistency,Intermediate,What should be avoided when rating down the certainty of evidence for inconsistency and imprecision?,It is important to avoid penalizing the certainty of evidence twice for the same underlying issue of inconsistency and imprecision.
A0526,AI,Imprecision,Intermediate,In what scenario might the 'no effect' line serve as a temporary threshold?,"During early phases of intervention development, the 'no effect' line may help discern any potential effects, whether positive or negative."
A0528,AI,Imprecision,Intermediate,"What can happen if a confidence interval does not cross thresholds, but the effect size is large?","In such cases, it is important to check if the analysis has sufficient power by assessing the review information size."
A0530,AI,Imprecision,Intermediate,When might the imprecision be rated down by three levels?,Imprecision may be rated down by three levels if the confidence interval crosses at least three thresholds reflecting extremely serious concerns.
A0558,AI,Dissemination bias,Intermediate,What role does the complexity and cost of conducting studies play in dissemination bias?,"The complexity and cost of studies influence the likelihood of missing evidence, with less costly studies more likely to remain unpublished if results are deemed negative."
A0566,AI,Dissemination bias,Intermediate,What should reviewers do to ensure comprehensive search techniques?,"Reviewers should include trial registries, relevant specialized databases, and grey literature in their search strategies to maximize study identification."
A0570,AI,Dissemination bias,Intermediate,How does the geographical focus of searches affect the identification of studies?,Searches in language-specific or regionally focused databases can increase the chances of identifying all relevant studies for specific research questions.
E0013,Expert,Imprecision,Advanced,The meta-analytical risk ratio of my analysis points to a large effect and its confidence interval does not cross any decision threshold. A total of 520 participants have been assessed. How can I rate the certainty of evidence for imprecision?,"When GRADE users face the situation of a confidence interval that does not overlap the thresholds of interest (i.e., no reason to rate down for imprecision based on the confidence intervals) and the effect is sufficiently large (e.g., relative risk reduction or an increase over 50%), it is important to check whether the analysis has sufficient power by assessing the review information size. A review information size calculation shows that to demonstrate a small effect with sufficient precision, 496 participants are needed, for a moderate effect 1,116 and for a large effect 10,044. In your analysis, you have evaluated 520 participants, which is lower than the review information size to demonstrate a moderate or large effect with sufficient precision. You should rate down the certainty of evidence by two levels."
E0021,Expert,Indirectness,Advanced,"In my meta-analysis, the PICO elements of all my primary studies are the same as the ones I defined as of interest to my research questions. Can I rate the certainty of evidence for indirectness as “not serious”?","Not necessarily. There are two main reasons for concern about indirectness: (1) potential differences in the relative effects of an intervention due to interaction with specific PICO elements, and (2) uncertainty about the baseline risk in the target population. There are no serious concerns regarding the first reason but it is not known whether there might be serious concerns regarding the second one. Therefore, information on whether there is uncertainty about the baseline risk should be provided."
E0022,Expert,Indirectness,Advanced,"In my meta-analysis, there are four out of ten studies for which I have at least serious indirectness concerns. How can I rate the certainty of evidence for indirectness?","The information is insufficient to rate the certainty of evidence for indirectness. 
In general, GRADE users should not rate down for indirectness unless there are compelling reasons to believe that differences between the question (in terms of population, intervention, comparator, or outcomes) and the available evidence are likely to result in meaningful and systematic differences in the observed relative or absolute effects. This is because some degree of discrepancy between the target PICO elements and the available evidence is inevitable, meaning that all bodies of evidence carry some inherent indirectness. The key consideration is whether this indirectness is likely to lead to meaningful, systematic differences in the estimated effects. If so, rating down the certainty of the evidence may be warranted. Such a decision should be supported by evidence or a clear rationale and explicitly reported.
The guiding principle is that certainty should be rated down when studies with greater and lesser degrees of indirectness yield discordant results. Conversely, if the estimated effects across varying levels of indirectness fall within the same range—or consistently remain on the same side of a relevant threshold—then indirectness is unlikely to have a meaningful impact on the pooled estimate. In such cases, GRADE users should not rate down the certainty of the evidence.
Indirectness due to baseline risk is a specific type of population indirectness. It typically arises when there is uncertainty about the true baseline risk in the population of interest. Rather than immediately rating down for indirectness, GRADE users are encouraged to adopt a more analytical approach. This may involve estimating a more representative baseline risk from external sources, such as longitudinal studies (see ""ways to mitigate indirectness"" below).
Alternatively, users can consider different plausible baseline risks and examine whether the corresponding absolute effect estimates fall into different effect size ranges. If the absolute effects fall into different ranges, it may be appropriate to rate down the certainty of the evidence due to concerns about indirectness. In contrast, if the absolute effects remain within the same range across the plausible baseline risks, rating down for indirectness is generally not warranted.
A more advanced approach involves plotting the risk difference across a range of plausible baseline risks. This visual representation helps identify whether—and at what point—the absolute effect crosses key decision thresholds, offering a more nuanced assessment of indirectness and its potential impact on decision-making.
"
E0025,Expert,Making answerable questions,Advanced,"I am part of a panel developing guidelines on allergic rhinitis. One of my panel colleagues suggested “work productivity” as one of the outcomes to be considered. However, another colleague suggested not considering it, as there is scarce evidence on the effect of treatments on work productivity. Should this outcome be considered or not?","Importantly, the selection of outcomes should be driven solely by their relevance to decision-making, not by the availability of evidence. Even if an outcome has not yet been studied, it should still be included if it is potentially important or critical to informed decisions."
E0026,Expert,Making answerable questions,Advanced,"What is the overall certainty of the evidence in this following scenario:
•        Overall mortality (critical outcome): Low certainty of evidence
•        Myocardial infarction (critical outcome): Low certainty of evidence
•        Blood pressure reduction (important outcome): Moderate certainty of evidence
•        Adverse events (important outcome): Very low certainty of evidence
",The certainty of evidence is low. Outcomes rated as important are included in the SoF tables but do not affect the overall certainty rating. Only outcomes rated as critical are both included in the SoF tables and determine the overall certainty of the evidence.
A0585,AI,Overview of the GRADE approach,Advanced,"What are the four levels of certainty of evidence defined by GRADE, and how do they relate to decision-making?","The four levels of certainty of evidence defined by GRADE are high, moderate, low, and very low. These levels inform decision-making by indicating the confidence that the true value of an estimate lies within a specific range or above/below a decision-making threshold."
A0586,AI,Overview of the GRADE approach,Advanced,Explain the concept of decision thresholds as described in the GRADE approach.,"Decision thresholds in GRADE are reference values that guide judgments about the effect size of an intervention and associated certainty of evidence, influencing decisions regarding the balance of effects or whether to recommend one intervention over another."
A0588,AI,Overview of the GRADE approach,Advanced,"How does the GRADE approach categorize studies based on their design, and what implications does this have for certainty ratings?","GRADE categorizes studies into randomized controlled trials (RCTs) and non-randomized studies about intervention (NRSI). RCTs generally start with a high-certainty rating, while NRSI typically begins with a low-certainty rating due to risks of confounding and selection bias."
A0600,AI,Overview of the GRADE approach,Advanced,How does the GRADE approach address the balance of desirable and undesirable consequences when formulating recommendations?,"The GRADE approach addresses this balance by evaluating the overall strength of recommendations based on the net effects of interventions, considering both the benefits and harms while factoring in the certainty of the evidence."
A0618,AI,The development methods of GRADE,Advanced,How does the GRADE Working Group ensure diversity in the membership of project groups?,"The GRADE Working Group ensures diversity in the membership of project groups by making them open to GWG members and newcomers, thereby fostering diverse perspectives and expertise."
A0619,AI,The development methods of GRADE,Advanced,What are the six structured steps involved in the methodological development and approval process for GRADE?,"The six structured steps involved are Problem Identification, Systematic or Scoping Review, Drafting, Iterative Review, Approval Process, and Publication."
A0620,AI,The development methods of GRADE,Advanced,Explain the iterative feedback process in the drafting stage of GRADE guidance development.,"In the drafting stage, drafts undergo multiple rounds of feedback from writing groups, project groups, and GWG members, ensuring clarity, relevance, and methodological rigor."
A0689,AI,Developing questions about interventions,Advanced,"What distinguishes background questions from guideline questions, and what is their purpose?",Background questions are distinguished from guideline questions by their focus on understanding underlying mechanisms or contexts rather than suggesting direct clinical actions; their purpose is to inform the context of guidelines.
A0690,AI,Developing questions about interventions,Advanced,What factors should be considered when evaluating the impact of an intervention on health equity?,"Factors to consider when evaluating the impact of an intervention on health equity include accessibility, variability of individuals' values regarding outcomes, and contextual factors related to resource distribution."
A0691,AI,Developing questions about interventions,Advanced,How does incorporating stakeholder input enhance the development of PICO questions?,Incorporating stakeholder input enhances the development of PICO questions by ensuring that the questions are relevant to those affected by the interventions and reflective of real-world considerations.
A0721,AI,Limitations in the design or execution of randomized trials,Advanced,What strategies can be implemented to increase follow-up rates in randomized trials and mitigate missing outcome data?,"Strategies to increase follow-up rates in randomized trials can include enhanced participant engagement, frequent communication, and incentives for continued participation, as well as implementing analytical strategies to handle missing outcome data effectively."
A0722,AI,Limitations in the design or execution of randomized trials,Advanced,What potential biases can arise from the outcome measurement process in randomized trials?,"Bias in the outcome measurement process can arise when outcome adjudicators are aware of treatment assignments, leading to unconscious or conscious recording of data that favors one treatment group over another."
A0723,AI,Limitations in the design or execution of randomized trials,Advanced,How can the selection of reported results lead to bias in randomized trials?,"The selection of reported results can lead to bias when investigators choose to report outcomes that appear more favorable for their preferred treatment group, rather than presenting all outcomes objectively."
A0755,AI,Inconsistency,Advanced,What is the significance of conducting subgroup analyses when addressing inconsistency?,Conducting subgroup analyses can help clarify the reasons for observed inconsistencies by examining whether specific patient characteristics or intervention aspects explain the variability in outcomes.
A0756,AI,Inconsistency,Advanced,What is the relationship between inconsistency and the certainty of evidence in GRADE?,"Inconsistency is one of five GRADE domains that can lead to a decreased certainty in evidence results, with severity determining whether to rate down by one, two, or three levels."
A0757,AI,Inconsistency,Advanced,How do fixed-effect and random-effects models differ in estimating confidence intervals?,"Fixed-effect models calculate confidence intervals based solely on within-study variation, while random-effects models account for both within-study and across-study variation, which is the source of inconsistency."
A0785,AI,Imprecision,Advanced,How does the size of the body of evidence affect the imprecision of estimates derived from studies?,Estimates derived from a small body of evidence are generally more imprecise compared to those derived from a larger body of evidence due to increased sampling error associated with smaller sample sizes.
A0786,AI,Imprecision,Advanced,What factors contribute to the narrowing of confidence intervals for binary outcomes?,"For binary outcomes, imprecision decreases as the number of events increases, the total sample size increases, or when the effect size, defined as the difference between groups, becomes larger."
A0787,AI,Imprecision,Advanced,In what way does sample size impact imprecision for continuous outcomes?,"For continuous outcomes, imprecision decreases when the sample size increases or when the variability in individual measurements decreases."
A0823,AI,Dissemination bias,Advanced,What is the significance of the term 'dissemination bias' compared to 'publication bias'?,"The term 'dissemination bias' is preferred as it encompasses a broader range of issues beyond publication bias, including the systematic suppression of unfavourable findings across various dissemination channels."
A0824,AI,Dissemination bias,Advanced,What role do authors and investigators play in disseminating research findings?,Authors and investigators can contribute to dissemination bias by systematically refraining from disseminating studies or findings that are considered unfavourable.
A0825,AI,Dissemination bias,Advanced,Explain the differences between publication bias and time-lag bias.,"Publication bias refers to the likelihood of studies with striking findings being published, while time-lag bias indicates that studies with notable results tend to be published more quickly than those with non-significant findings."
E0020,Expert,Overview of the GRADE approach,ExpertStyled,What is the initial certainty rating for evidence from non-randomized studies (NRSI) in GRADE?,Evidence from NRSI typically begins with a low-certainty rating due to the inherent risk of confounding and selection bias associated with the lack of randomization.
E0028,Expert,Overview of the GRADE approach,ExpertStyled,What can significantly lower the certainty of evidence from RCTs and NRSI according to GRADE?,Five domains can lower the certainty of the evidence from RCTs and NRSI.
E0029,Expert,Overview of the GRADE approach,ExpertStyled,What is the effect of observing a large effect in relation to certainty ratings?,"When a large effect is observed, the likelihood that this effect is entirely explained by confounding variables is very low, thus allowing the certainty of evidence to be rated up."
E0030,Expert,Developing questions about interventions,ExpertStyled,Who should ideally participate in the selection of PICO components?,The selection of PICO components should ideally involve relevant stakeholders and experienced methodologists.
E0031,Expert,Limitations in the design or execution of randomized trials,ExpertStyled,What might happen if a substantial proportion of outcome data is missing?,"If a substantial proportion of outcome data is missing, the result of the trial becomes unreliable."
A0871,AI,Overview of the GRADE approach,ExpertStyled,How is indirectness defined in the context of GRADE?,"Indirectness covers concerns about applicability, generalizability, external validity, translatability and transferability of research results to a question of interest."
A0873,AI,Overview of the GRADE approach,ExpertStyled,How might GRADE users rate down the certainty of evidence due to imprecision?,"When confidence intervals cross predetermined thresholds, GRADE users should rate down the certainty of the evidence."
A0877,AI,Overview of the GRADE approach,ExpertStyled,When can the certainty of evidence be rated up due to the presence of a dose-response gradient?,"If a dose-response gradient is observed at the outcome level, the certainty of the evidence can be rated up by one level."
A0887,AI,Overview of the GRADE approach,ExpertStyled,What happens when the certainty of evidence is low or very low in GRADE?,"When the certainty of the evidence is low or very low, effect estimates become unreliable, generating uncertainty about the net effect."
A0899,AI,The development methods of GRADE,ExpertStyled,What happens to rejected articles in the GRADE development process?,"Rejected articles are revisited and refined, with opportunities for resubmission fostering innovation and continuous improvement."
A0905,AI,The development methods of GRADE,ExpertStyled,What is the maximum number of times a rejected draft can be resubmitted in the GRADE approval process?,Rejected drafts may undergo further refinement and resubmission up to three times.
A0907,AI,The development methods of GRADE,ExpertStyled,How is authorship determined for GRADE papers?,Authorship is determined in accordance with ICMJE criteria.
A0926,AI,Requirements for claiming the use of GRADE,ExpertStyled,What kind of tables should be used to present evidence in GRADE?,Evidence should be synthesized and presented systematically using evidence profiles or summary of findings tables.
A0930,AI,Requirements for claiming the use of GRADE,ExpertStyled,What factors should be considered when evaluating the magnitude and balance of health effects?,"Guideline developers should describe the magnitude and balance of desirable and undesirable health and well-being effects of the options that are considered, the value of each outcome, and the certainty of the evidence for the aforementioned EtD criteria."
A0939,AI,Requirements for claiming the use of GRADE,ExpertStyled,What is the relationship between GRADE and evidence-based medicine?,"GRADE is a cornerstone of evidence synthesis, widely adopted in systematic reviews, clinical guidelines, and health-related decision-making."
A0965,AI,Developing questions about interventions,ExpertStyled,What key words are typically included in recommendation questions framed using the PICO framework?,The words 'should' and 'use' are key components of recommendation questions.
A0966,AI,Developing questions about interventions,ExpertStyled,What is the importance of formulating guideline questions with specific focus?,It ensures that the recommended action is clear and understandable to readers.
A0976,AI,Developing questions about interventions,ExpertStyled,"When framing the PICO question, what must the population of interest be based on?",It must be based on individuals for whom the intervention is a practical and reasonable management strategy.
A0989,AI,Limitations in the design or execution of randomized trials,ExpertStyled,What specific tools can be used to evaluate limitations in randomized trials?,Specific tools like the Cochrane Risk of Bias 2.0 can be used to evaluate limitations in randomized trials.
A0990,AI,Limitations in the design or execution of randomized trials,ExpertStyled,What is allocation concealment in the context of randomized trials?,Allocation concealment refers to the measures taken to ensure that the randomization sequence is not revealed to the individuals involved in enrolling and assigning participants to study groups.
A1017,AI,Limitations in the design or execution of randomized trials,ExpertStyled,What should be the approach if multiple signals indicate dissemination bias?,"If multiple signals indicate dissemination bias, it is likely appropriate to rate down the certainty of the evidence by at least one level."
A1032,AI,Inconsistency,ExpertStyled,How can the Cochran's Q test be used in assessing inconsistency?,The Cochran's Q test examines the hypothesis that all studies are suggesting the same effect and provides a p-value.
A1038,AI,Inconsistency,ExpertStyled,What should be done if statistical measures indicate inconsistency?,"Any inconsistency, even if minor, should be further investigated."
A1044,AI,Inconsistency,ExpertStyled,What is the advantage of using multiple thresholds in assessing the certainty of evidence?,"Using multiple thresholds is appropriate when balancing the effects of multiple outcomes or considering other consequences, such as cost."
A1064,AI,Imprecision,ExpertStyled,Which factors decrease imprecision for binary outcomes?,"Imprecision decreases as the number of events increases, the total sample size increases, or when the effect size becomes larger."
A1065,AI,Imprecision,ExpertStyled,What happens to imprecision for continuous outcomes as the sample size increases?,Imprecision decreases when the sample size increases or the variability in individual measurements decreases.
A1066,AI,Imprecision,ExpertStyled,What is the primary basis for judgments about imprecision?,Judgments about imprecision are primarily based on the confidence interval and whether it crosses specific thresholds that are ideally designated a priori.
A1098,AI,Dissemination bias,ExpertStyled,What term did GRADE initially use before adopting the term 'dissemination bias'?,GRADE initially used the term 'reporting bias' before adopting the term 'dissemination bias'.
A1110,AI,Dissemination bias,ExpertStyled,What is a contour-enhanced funnel plot used for?,A contour-enhanced funnel plot is used to help disentangle possible reasons for funnel plot asymmetry.
A1115,AI,Dissemination bias,ExpertStyled,What is the term used to describe studies that are more likely to be published due to their results?,Publication bias refers to studies showing a certain strength and direction of effects being more likely to be published.
